# t	y	e0.47	5.49	0.26
1.41	4.08	0.12
2.36	3.54	0.27
3.3	2.61	0.1
4.24	2.09	0.15
5.18	1.91	0.11
6.13	1.55	0.13
7.07	1.47	0.07
8.01	1.45	0.15
8.95	1.25	0.09


# t, A*exp(-t/T)+B
0.47	5.40152
0.6396	5.14079
0.8092	4.89581
0.9788	4.66562
1.1484	4.44934
1.318	4.24612
1.4876	4.05517
1.6572	3.87575
1.8268	3.70717
1.9964	3.54877
2.166	3.39994
2.3356	3.2601
2.5052	3.1287
2.6748	3.00524
2.8444	2.88923
3.014	2.78023
3.1836	2.67782
3.3532	2.58159
3.5228	2.49117
3.6924	2.40621
3.862	2.32638
4.0316	2.25138
4.2012	2.1809
4.3708	2.11468
4.5404	2.05246
4.71	1.994
4.8796	1.93907
5.0492	1.88745
5.2188	1.83895
5.3884	1.79339
5.558	1.75057
5.7276	1.71034
5.8972	1.67254
6.0668	1.63702
6.2364	1.60365
6.406	1.57229
6.5756	1.54283
6.7452	1.51515
6.9148	1.48913
7.0844	1.46469
7.254	1.44173
7.4236	1.42015
7.5932	1.39988
7.7628	1.38083
7.9324	1.36293
8.102	1.34611
8.2716	1.33031
8.4412	1.31546
8.6108	1.30151
8.7804	1.2884
8.95	1.27608
9.1196	1.26451
